"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"taxonomy"
"OTU52"	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	"k:Fungi,p:Ascomycota,c:Lecanoromycetes,o:Ostropales,f:Stictidaceae,g:Absconditella,s:Absconditella lignicola"
"OTU53"	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Diaporthales,f:Diaporthaceae,g:Diaporthe"
"OTU54"	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	"k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,f:Bulleribasidiaceae,g:Hannaella"
"OTU55"	0	0	0	0	1	0	1	1	0	0	1	1	1	1	0	0	"k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,f:Bulleribasidiaceae,g:Vishniacozyma,s:Vishniacozyma taibaiensis"
"OTU56"	0	0	0	0	1	1	0	1	1	0	1	1	1	1	1	1	"k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Cyphellophoraceae,g:Cyphellophora,s:Cyphellophora guyanensis"
"OTU57"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Magnaporthales,f:Magnaporthaceae,g:Arxiella"
"OTU58"	0	0	0	0	1	1	1	1	0	0	0	1	1	1	0	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Glomerellales,f:Glomerellaceae,g:Colletotrichum"
"OTU59"	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	"k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Exophiala"
"OTU60"	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Gibberella,s:Gibberella baccata"
"OTU61"	0	1	0	1	1	1	0	0	0	0	0	1	1	1	0	0	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales,f:Neodevriesiaceae,g:Neodevriesia,s:Neodevriesia strelitziae"
"OTU63"	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales"
"OTU64"	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,g:Sarocladium"
"OTU65"	0	0	0	0	0	1	0	0	1	0	1	1	1	1	1	1	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Albonectria,s:Albonectria rigidiuscula"
"OTU66"	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Morosphaeriaceae,g:Acrocalymma,s:Acrocalymma medicaginis"
"OTU67"	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Bionectriaceae,g:Geosmithia"
"OTU68"	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	1	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Clavicipitaceae,g:Metacordyceps,s:Metacordyceps chlamydosporia"
"OTU69"	0	0	0	0	0	1	0	0	1	0	1	1	1	1	0	0	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Morosphaeriaceae,g:Acrocalymma,s:Acrocalymma vagum"
"OTU70"	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	"k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Cantharellales,f:Ceratobasidiaceae,g:Rhizoctonia,s:Rhizoctonia bicornis"
"OTU71"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales"
"OTU72"	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	"k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Sebacinales"
"OTU73"	0	0	0	0	1	1	1	1	0	0	1	1	1	1	0	0	"k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,f:Tremellaceae,g:Cryptococcus"
"OTU74"	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Thyridariaceae,g:Roussoella"
"OTU75"	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Cucurbitariaceae,g:Pyrenochaeta,s:Pyrenochaeta inflorescentiae"
"OTU76"	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	"k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Cyphellophoraceae,g:Cyphellophora"
"OTU77"	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales"
"OTU78"	0	0	0	0	1	0	0	1	0	0	1	0	1	1	1	0	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales"
"OTU79"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	"k:Fungi,p:Ascomycota,c:Orbiliomycetes,o:Orbiliales,f:Orbiliaceae,g:Arthrobotrys,s:Arthrobotrys entomopaga"
"OTU81"	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Glomerellales,f:Glomerellaceae,g:Colletotrichum"
"OTU82"	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	1	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Didymosphaeriaceae,g:Pseudopithomyces"
"OTU83"	0	0	0	0	1	0	0	0	0	0	1	1	1	1	1	1	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Botryosphaeriales,f:Botryosphaeriaceae,g:Lasiodiplodia"
"OTU84"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Bionectriaceae,g:Bionectria,s:Bionectria setosa"
"OTU85"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Torulaceae,g:Dendryphion"
"OTU86"	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Cucurbitariaceae,g:Pyrenochaetopsis"
"OTU87"	1	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	"k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Coniosporium"
"OTU88"	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	"k:Fungi,p:Ascomycota,c:Dothideomycetes"
"OTU89"	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	"k:Fungi"
"OTU90"	1	0	0	0	1	1	0	1	1	0	1	1	1	1	1	1	"k:Fungi"
"OTU91"	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Dactylonectria,s:Dactylonectria anthuriicola"
"OTU92"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales,f:Capnodiaceae"
"OTU93"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes"
"OTU94"	0	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	"k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Cyphellophoraceae,g:Cyphellophora,s:Cyphellophora fusarioides"
"OTU95"	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales"
"OTU97"	0	0	0	0	0	0	0	0	1	0	1	1	1	1	0	1	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Fusarium"
