"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"taxonomy"
"OTU48"	0	0	0	0	0	0	0	0	0	14	114	5364	254	176	712	444	"k__Bacteria; p__\"Actinobacteria\"; c__Actinobacteria; o__Actinomycetales; f__Pseudonocardiaceae; g__Amycolatopsis"
"OTU49"	0	0	0	0	291	0	0	0	394	478	14	856	2851	793	64	133	"k__Bacteria; p__\"Actinobacteria\"; c__Actinobacteria; o__Actinomycetales; f__Pseudonocardiaceae; g__Lentzea"
"OTU50"	0	0	0	0	0	0	0	0	1271	2216	189	0	0	93	0	0	"k__Bacteria; p__\"Proteobacteria\"; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Acidovorax"
"OTU51"	0	0	0	0	0	0	0	0	0	0	0	0	1525	0	0	0	"k__Bacteria; p__\"Actinobacteria\"; c__Actinobacteria; o__Actinomycetales; f__Pseudonocardiaceae; g__Saccharothrix"
"OTU52"	0	0	242	0	0	0	0	0	35	20	302	577	66	1122	317	598	"k__Bacteria; p__\"Proteobacteria\"; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Labrys"
"OTU53"	0	0	0	0	0	0	0	46	0	199	128	13	1223	78	0	0	"k__Bacteria; p__\"Proteobacteria\"; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Xanthomonas"
"OTU55"	0	0	0	0	0	0	0	0	0	19	8	126	1277	203	64	24	"k__Bacteria; p__\"Actinobacteria\"; c__Actinobacteria; o__Actinomycetales; f__Pseudonocardiaceae; g__Actinophytocola"
"OTU56"	0	0	0	0	0	0	0	0	101	43	22	0	33	193	31	2402	"k__Bacteria; p__\"Bacteroidetes\"; c__Sphingobacteriia; o__\"Sphingobacteriales\"; f__Chitinophagaceae"
"OTU57"	0	0	205	0	0	0	25	643	744	2535	843	189	192	380	0	155	"k__Bacteria; p__\"Proteobacteria\"; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Rhizobium"
"OTU58"	0	0	0	0	0	0	0	0	35	0	0	0	0	1328	0	0	"k__Bacteria; p__\"Proteobacteria\"; c__Betaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia"
"OTU59"	0	0	0	0	27	102	67	86	0	0	317	0	1200	157	0	0	"k__Bacteria; p__\"Proteobacteria\"; c__Alphaproteobacteria; o__Rhizobiales; f__Methylobacteriaceae; g__Methylobacterium"
