	V3.16s	V5.16s	V6.16s	V7.16s	V8.16s	V9.16s	V10.16s	V11.16s	V12.16s	V13.16s	V14.16s	V15.16s	V16.16s	taxonomy
New.CleanUp.ReferenceOTU55	0	0	0	0	0	18.3321844207453	0	0	0	0	0	0	0	k__Bacteria
New.CleanUp.ReferenceOTU84	2.70347363083164	6	0	1.67805595245491	0	0	0	0.410270857095741	0	0	0	0	1.19910032332131	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Cystobacteraceae; g__; s__
New.CleanUp.ReferenceOTU86	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria
696234	4.32555780933063	0	0	0	0	5.44777178541016	41.4721898094127	2.22718465280545	0	1.01546346537011	3.06766040824425	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Agrobacterium; s__
137669	3.7848630831643	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylocystaceae; g__; s__
656144	2.70347363083164	0	0	0	1.52566624932928	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__
222183	4.86625253549696	0	0	0	2.79705479043701	0	0.374587520859211	0.586101224422488	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__wittichii
1066559	19.4650101419878	0	0	0	6.35694270553866	0	0	0	0	0	0.317344180163198	0	0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__
1074625	69.7496196754564	0	0	306.37768942453	4.83127645620938	0	0	4.9232502851489	1.0929091774353	38.8013934662473	10.5252486420794	0	48.5635630945129	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae
1046254	4.32555780933063	0	0	0	2.28849937399392	0	0	0.293050612211244	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Spirosoma; s__
539915	14.5987576064909	0	0	0	0	0	0	0	0	0	0.317344180163198	0	0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae
285553	6.48833671399594	0	0	0	7.37405353842485	0	3.05021266985358	1.87552391815196	0	0.534454455457952	0.74046975371413	0	0	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]; g__Chryseobacterium; s__
591699	15.6801470588235	0	8.34703303585408	2.03133088981384	11.188219161748	0	0	0.761931591749234	0	0.534454455457952	1.58672090081599	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylobacteriaceae; g__Methylobacterium; s__adhaesivum
953975	3.24416835699797	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae
582997	3.7848630831643	0	0	0	0	0	0.267562514899437	0	0	0	0.317344180163198	0	0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae
1060958	6.48833671399594	0	0	0	2.28849937399392	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylocystaceae; g__; s__
855747	4.32555780933063	17	0	3.79770557660848	15.7652179097359	0	0	0.293050612211244	0	0	0.74046975371413	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Aurantimonadaceae; g__; s__
226599	2.70347363083164	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__; g__; s__
1090978	9.73250507099391	0	0	0	1.27138854110773	0	0	0	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Hymenobacter; s__
1000654	4.86625253549696	0	0	0	2.54277708221547	0	0	0.703321469306985	5.93293553464875	1.17579980200749	2.64453483469332	0	0	k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__; s__
1074016	3.7848630831643	0	0	0	0	26.9794412229837	25.4184389154465	2.2857947752477	0.780649412453783	0	8.09227659416156	0	0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae
163716	14.5987576064909	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__Roseomonas; s__mucosa
952203	3.24416835699797	0	0	0	0	0.518835408134301	0.80268754469831	1.23081257128722	0	0	0.581797663632531	0	0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Janthinobacterium; s__
969805	13.5173681541582	0	0	0	0	8.64725680223835	19.4250385816991	10.1981613049513	4.99615623970421	4.70319920802997	2.06273717106079	0	3.19760086219015	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Agrobacterium; s__
593226	3.24416835699797	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Hymenobacter; s__
138826	79.4821247464503	0	0	2.4729245615125	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae
1091635	2.70347363083164	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__
1085627	2.70347363083164	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Agrobacterium; s__
1028542	2.70347363083164	0	0	0.529912406038392	1.52566624932928	0	0	0.46888097953799	0	1.01546346537011	0	0	0	k__Bacteria; p__FBP; c__; o__; f__; g__; s__
486085	2.70347363083164	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__
220524	4.86625253549696	0	0	1.76637468679464	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nakamurellaceae; g__; s__
1115572	3.24416835699797	0	0	0	0	0	2.99670016687369	0	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__succinicans
948180	14.0580628803245	0	0	0	1.52566624932928	0	0	1.11359232640273	0	0.534454455457952	0.317344180163198	0	0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__; s__
975056	5.94764198782961	0	0	0	3.55988791510165	0	0	0.703321469306985	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__; s__
916183	4.86625253549696	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Dyadobacter; s__
1007180	8.11042089249493	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Methylobacteriaceae; g__Methylobacterium
157514	3.7848630831643	0	0	0	1.77994395755083	0	0	0	0	0	0	7.43895348837209	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales
3723650	4.86625253549696	0	4.34045717864412	3.62106810792901	8.39116437131104	0.605307976156685	0.267562514899437	0	0	0.534454455457952	0.793360450407996	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__
548434	58.9357251521298	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae
226138	3.7848630831643	0	0	0.88318734339732	7.6283312466464	0	0	0.820541714191483	0	0.587899901003747	0	2.27301356589147	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__
347195	15.6801470588235	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__; s__
1053100	5.40694726166329	0	2.00328792860498	0.706549874717856	3.8141656233232	0	0	0	0	6.30656257440383	0.423125573550931	0	0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales; f__Bdellovibrionaceae; g__Bdellovibrio; s__
1068470	3.24416835699797	0	0	0	0	0	0	0	0	0	0.793360450407996	0	0	k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Pedobacter; s__
1003668	5.40694726166329	23	0	0.44159367169866	4.06844333154474	0	0	4.9232502851489	0	1.01546346537011	0.952032540489596	0	0	k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__WD2101; f__; g__; s__
544883	3.24416835699797	0	0	0	0	0	0	0	0	0	0	32.2354651162791	0	k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__; s__
1108350	4.32555780933063	5	0	0.794868609057588	13.9852739521851	0.432362840111918	0.642150035758648	0.644711346864736	0.93677929494454	1.92403603964863	0.423125573550931	0	0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae; g__Microbacterium
677064	4.86625253549696	0	0	0	0	0	4.01343772349155	2.81328587722794	0.93677929494454	0	0.264453483469332	0	0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Janthinobacterium; s__
241895	16.2208417849899	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__[Thermi]; c__Deinococci; o__Deinococcales; f__Deinococcaceae; g__Deinococcus; s__
1057116	65.9647565922921	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Hymenobacter; s__
822419	125.441176470588	0	0	0	2.79705479043701	0	0.80268754469831	0	0	0.374118118820566	0.476016270244798	0	0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae
240451	5.40694726166329	0	2.00328792860498	3.53274937358928	2.28849937399392	0	0	0.527491101980239	0	12.9337978220824	0	0	0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Kineosporiaceae; g__Kineococcus; s__
