#OTU_ID	V1.ITS	V2.ITS	V3.ITS	V4.ITS	V5.ITS	V6.ITS	V7.ITS	V8.ITS	V9.ITS	V10.ITS	V11.ITS	V12.ITS	V13.ITS	V14.ITS	V15.ITS	V16.ITS	taxonomy
New.CleanUp.ReferenceOTU363	0	0	10	0	0	0	0	8	0	0	0	0	0	0	6	0	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales
New.CleanUp.ReferenceOTU368	0	0	172	0	0	0	0	5	0	0	0	29	9	0	0	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Xylariales; f__Bartaliniaceae
New.CleanUp.ReferenceOTU374	0	0	30	0	0	0	0	11	0	0	0	120	0	0	17	0	k__Fungi; p__Ascomycota; c__Orbiliomycetes; o__Orbiliales
New.CleanUp.ReferenceOTU377	0	0	6	0	0	0	0	0	0	0	11	0	0	198	7	0	Unclassified
New.CleanUp.ReferenceOTU7	0	0	0	34	149	0	0	0	76	0	574	7	27	204	30	15	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Neodevriesiaceae; g__Neodevriesia; s__Neodevriesia_pakbiae
New.CleanUp.ReferenceOTU18	0	0	0	15	28	11	12	40	0	9	0	35	0	16	143	7	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Xylariales; f__Xylariaceae
432904	0	0	0	0	6	5	0	0	0	0	0	0	0	0	0	0	Unclassified
New.CleanUp.ReferenceOTU44	0	0	0	0	23	225	0	7	7	0	0	0	0	0	12	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Hypocreales_fam_Incertae_sedis; g__Acremonium; s__Acremonium_alternatum
New.CleanUp.ReferenceOTU47	0	0	0	0	6	0	0	7	7	5	40	15	46	0	0	0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Neodevriesiaceae; g__Neodevriesia; s__Neodevriesia_pakbiae
New.CleanUp.ReferenceOTU53	0	0	0	0	5	1425	19	0	0	0	163	19	0	0	6	1370	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Chaetothyriales_fam_Incertae_sedis; g__Hyalocladosporiella; s__Hyalocladosporiella_tectonae
New.CleanUp.ReferenceOTU54	0	0	0	0	233	0	0	0	0	0	0	0	39	0	44	3941	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Teratosphaeriaceae; g__Devriesia; s__Devriesia_strelitziicola
New.CleanUp.ReferenceOTU62	0	0	0	0	88	0	0	0	58	0	0	0	18	0	9	0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Neodevriesiaceae; g__Neodevriesia; s__Neodevriesia_pakbiae
New.CleanUp.ReferenceOTU63	0	0	0	0	10	632	0	31	7	6	0	0	142	0	0	72	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Biatriosporaceae; g__Biatriospora; s__Biatriospora_mackinnonii
New.CleanUp.ReferenceOTU65	0	0	0	0	49	0	0	0	17	0	0	0	0	0	0	0	k__Fungi; p__Ascomycota; c__Sordariomycetes
New.CleanUp.ReferenceOTU66	0	0	0	0	19	0	0	0	0	0	0	0	0	29	9	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Xylariales; f__Xylariaceae; g__Xylaria; s__Xylaria_hypoxylon
New.CleanUp.ReferenceOTU68	0	0	0	0	6	85	0	11	0	0	0	0	42	13	0	0	k__Fungi; p__Basidiomycota
New.CleanUp.ReferenceOTU76	0	0	0	0	109	0	0	10	336	3417	5	0	8	0	5	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Cyphellophoraceae; g__Cyphellophora; s__Cyphellophora_guyanensis
New.CleanUp.ReferenceOTU78	0	0	0	0	44	9	0	8	0	31	0	0	0	0	5	0	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Lophiostomataceae; g__Lophiostoma; s__unidentified
New.CleanUp.ReferenceOTU79	0	0	0	0	5	0	0	13	0	0	32	328	0	0	0	0	k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales
New.CleanUp.ReferenceOTU81	0	0	0	0	16	0	11	35	0	0	0	0	98	0	0	0	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae
New.CleanUp.ReferenceOTU83	0	0	0	0	8	1249	0	0	23	0	0	0	45	13	0	0	Unclassified
New.CleanUp.ReferenceOTU87	0	0	0	0	6	0	0	0	0	0	0	0	0	58	24	0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Agaricales; f__Psathyrellaceae; g__Coprinopsis
New.CleanUp.ReferenceOTU103	0	0	0	0	16	0	22	0	15	8	120	8	37	0	11	0	k__Fungi; p__Basidiomycota; c__Cystobasidiomycetes; o__Cystobasidiomycetes_ord_Incertae_sedis; f__Symmetrosporaceae; g__Symmetrospora; s__Symmetrospora_marina
New.CleanUp.ReferenceOTU107	0	0	0	0	6	12	42	68	0	0	0	44	0	12	5	21	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Pleurotheciales; f__Pleurotheciaceae; g__Phaeoisaria
New.CleanUp.ReferenceOTU112	0	0	0	0	81	25	0	0	0	0	0	0	104	0	0	0	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales
New.CleanUp.ReferenceOTU117	0	0	0	0	587	8	10	0	0	5	10	37	38	0	0	155	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Biatriosporaceae; g__Biatriospora; s__Biatriospora_mackinnonii
New.CleanUp.ReferenceOTU119	0	0	0	0	8	0	0	118	56	0	0	0	0	12	0	37	k__Fungi; p__Ascomycota
New.CleanUp.ReferenceOTU124	0	0	0	0	6	0	0	0	0	0	0	0	33	15	10	6	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Russulales; f__Peniophoraceae; g__Peniophora
New.CleanUp.ReferenceOTU127	0	0	0	0	32	76	0	0	0	14447	0	19	0	33	11	25	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Cyphellophoraceae
New.CleanUp.ReferenceOTU132	0	0	0	0	5	0	0	0	0	0	19	0	0	0	0	0	k__Fungi; p__Ascomycota; c__Sordariomycetes
New.CleanUp.ReferenceOTU137	0	0	0	0	5	0	0	5	0	23	22	0	8	0	0	0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Atheliales; f__Atheliaceae; g__Amphinema; s__Amphinema_byssoides
