#OTU ID	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	Taxonomy
OTU61	0	49	0	30	620	1695	0	0	0	0	0	85	56	32	0	0	GS|100.0|EU436763|SH1549728.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales,f:Neodevriesiaceae,g:Neodevriesia,s:Neodevriesia strelitziae
OTU63	0	0	0	0	0	0	0	0	0	0	1482	0	12	78	45	608	GS|100.0|AF502895|SH1585533.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales
OTU64	0	0	0	0	0	0	0	0	13	0	1981	92	87	1278	0	0	GS|100.0|EF694655|SH1569895.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,g:Sarocladium
OTU65	0	0	0	0	0	1175	0	0	22	0	4627	132	205	175	179	241	GS|100.0|KU377469|SH1546326.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Albonectria,s:Albonectria rigidiuscula
OTU66	0	0	0	0	0	0	0	1795	0	0	644	25	111	168	13	29	GS|100.0|MK247909|SH1612874.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Morosphaeriaceae,g:Acrocalymma,s:Acrocalymma medicaginis
OTU67	0	0	0	0	0	0	0	0	0	0	1981	0	0	23	0	0	GS|72.4|EU686805|SH1185592.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Bionectriaceae,g:Geosmithia
OTU68	0	0	0	0	0	0	0	0	0	0	1836	13	60	48	0	15	GS|100.0|KP216980|SH1644900.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Clavicipitaceae,g:Metacordyceps,s:Metacordyceps chlamydosporia
OTU69	0	0	0	0	0	18	0	0	44	0	514	282	448	511	0	0	GS|97.4|HE585021|SH1213845.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Morosphaeriaceae,g:Acrocalymma,s:Acrocalymma vagum
OTU70	0	0	0	0	0	0	0	0	0	0	0	0	34	2329	0	0	GS|100.0|MG515379|SH1608943.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Cantharellales,f:Ceratobasidiaceae,g:Rhizoctonia,s:Rhizoctonia bicornis
OTU71	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	1538	SS|0.9700|AF502895|SH1585533.08FU;k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Xylariales
OTU72	0	0	0	0	0	0	0	0	110	541	728	11	0	0	0	0	GS|99.0|KX398763|SH1572434.08FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Sebacinales
OTU73	0	0	0	0	370	124	16	19	0	0	129	49	832	109	0	0	GS|99.7|KM246227|SH1528215.08FU;k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,f:Tremellaceae,g:Cryptococcus
OTU74	0	0	0	0	0	0	0	2224	0	0	131	128	78	505	94	24	GS|99.7|EU687071|SH1637047.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Thyridariaceae,g:Roussoella
OTU75	0	0	0	0	0	0	0	0	0	25	0	0	642	1078	0	0	GS|100.0|GU361962|SH1614480.08FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Cucurbitariaceae,g:Pyrenochaeta,s:Pyrenochaeta inflorescentiae
OTU76	0	0	0	0	72	0	0	1656	0	0	0	0	0	9	30	0	SS|0.8500|MG813221|SH1228291.08FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Cyphellophoraceae,g:Cyphellophora
