"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"taxonomy"
"OTU77"	0	0	0	0	0	0	0	0	0	84	1103	0	32	0	0	169	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales"
"OTU78"	0	0	0	0	366	0	0	69	0	0	8	0	1289	17	167	0	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales"
"OTU79"	0	0	0	0	0	0	0	0	0	0	0	0	0	1286	0	0	"k:Fungi,p:Ascomycota,c:Orbiliomycetes,o:Orbiliales,f:Orbiliaceae,g:Arthrobotrys,s:Arthrobotrys entomopaga"
"OTU81"	0	0	0	0	0	498	0	0	0	0	0	2083	7	516	0	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Glomerellales,f:Glomerellaceae,g:Colletotrichum"
"OTU82"	0	0	1265	0	0	0	0	49	0	0	0	0	0	54	0	111	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Didymosphaeriaceae,g:Pseudopithomyces"
"OTU83"	0	0	0	0	63	0	0	0	0	0	17	89	79	91	4730	637	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Botryosphaeriales,f:Botryosphaeriaceae,g:Lasiodiplodia"
"OTU84"	0	0	0	0	0	0	0	0	0	0	929	0	0	0	0	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Bionectriaceae,g:Bionectria,s:Bionectria setosa"
"OTU85"	0	0	1477	0	0	0	0	0	0	0	0	0	0	0	0	0	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Torulaceae,g:Dendryphion"
"OTU86"	0	0	0	0	0	0	0	0	0	0	0	115	17	1531	0	0	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Cucurbitariaceae,g:Pyrenochaetopsis"
"OTU87"	1295	0	0	0	0	0	0	631	0	0	85	452	16	1205	40	30	"k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Coniosporium"
"OTU88"	1884	0	0	0	0	0	875	0	0	0	0	0	14	0	0	0	"k:Fungi,p:Ascomycota,c:Dothideomycetes"
"OTU89"	0	0	0	0	0	0	0	0	0	0	50	0	0	889	0	0	"k:Fungi"
"OTU90"	63	0	0	0	522	155	0	449	30	0	770	155	50	709	167	25	"k:Fungi"
"OTU91"	0	0	0	0	0	0	0	0	0	1055	12	33	548	0	0	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Dactylonectria,s:Dactylonectria anthuriicola"
"OTU92"	0	0	0	0	0	0	0	2752	0	0	0	0	0	0	0	0	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales,f:Capnodiaceae"
"OTU93"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3601	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes"
"OTU94"	0	0	0	0	0	0	0	91	0	0	49	0	0	836	229	186	"k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Cyphellophoraceae,g:Cyphellophora,s:Cyphellophora fusarioides"
"OTU95"	0	6069	0	0	63	0	0	117	0	0	161	0	0	0	0	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales"
"OTU97"	0	0	0	0	0	0	0	0	143	0	162	1551	195	45	0	18	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Fusarium"
"OTU98"	0	0	279	0	63	1334	0	0	60	6	106	11	68	30	62	22	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Glomerellales,f:Glomerellaceae"
"OTU99"	0	0	0	0	0	0	0	0	0	0	493	0	0	0	0	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Volutella"
"OTU100"	0	2059	0	0	199	0	0	0	0	0	0	57	367	34	0	0	"k:Fungi,p:Basidiomycota,c:Tremellomycetes,o:Tremellales,f:Bulleribasidiaceae,g:Hannaella,s:Hannaella siamensis"
"OTU101"	0	0	0	0	0	0	0	0	272	31	0	22	52	1346	0	0	"k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,f:Herpotrichiellaceae,g:Cladophialophora"
"OTU103"	0	0	0	0	0	104	0	1400	0	0	0	0	0	10	0	0	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Capnodiales"
"OTU104"	0	0	0	0	0	0	0	0	120	118	0	282	589	5	0	142	"k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Eurotiales,f:Trichocomaceae,g:Talaromyces,s:Talaromyces sayulitensis"
"OTU105"	0	0	0	0	0	0	0	7	47	0	348	324	122	58	1837	10	"k:Fungi"
"OTU106"	0	0	0	0	0	3227	0	43	0	0	0	0	0	0	0	0	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Didymosphaeriaceae"
"OTU107"	0	0	0	0	6682	233	0	135	120	0	233	434	69	131	226	21	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales"
"OTU108"	0	0	0	0	0	0	0	0	44	522	110	239	175	18	632	0	"k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Chaetothyriales,g:Xenobotrytis,s:Xenobotrytis acaducospora"
"OTU109"	0	0	0	0	0	0	0	0	0	0	0	178	111	945	0	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Stachybotryaceae,g:Paramyrothecium,s:Paramyrothecium foliicola"
"OTU110"	0	0	0	0	0	0	0	0	0	0	568	0	0	6	0	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Hypocreales,f:Nectriaceae,g:Volutella,s:Volutella consors"
"OTU111"	0	621	135	0	147	6556	206	165	0	0	15	40	193	138	0	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Glomerellales,f:Glomerellaceae,g:Colletotrichum"
"OTU112"	0	0	0	0	0	0	0	1156	0	0	0	0	0	0	0	0	"k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales"
"OTU113"	0	0	0	0	0	3694	0	17	0	12	8	0	18	27	59	0	"k:Fungi,p:Ascomycota,c:Sordariomycetes,o:Diaporthales,f:Diaporthaceae,g:Diaporthe"
