#OTU ID	V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	taxonomy
OTU1166	0.0	0.0	0.0	0.0	0.0	0.0	1.0	24.0	0.0	3.0	9.0	1.0	4.0	16.0	58.0	4.0	"k__Bacteria; p__""Actinobacteria""; c__Actinobacteria; o__Actinomycetales; f__Cryptosporangiaceae; g__Jatrophihabitans"
OTU1170	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	"k__Bacteria; p__""Proteobacteria""; c__Gammaproteobacteria; o__Legionellales; f__Legionellaceae; g__Legionella"
OTU1171	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	"k__Bacteria; p__""Chloroflexi""; c__Ktedonobacteria; o__Ktedonobacterales"
OTU1173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	30.0	1.0	0.0	0.0	"k__Bacteria; p__""Acidobacteria""; c__Acidobacteria_Gp5; o__; f__; g__Gp5"
OTU1175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	2.0	36.0	0.0	0.0	0.0	"k__Bacteria; p__""Proteobacteria""; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae"
OTU1177	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"k__Bacteria; p__""Proteobacteria""; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter"
OTU1178	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.0	0.0	13.0	7.0	0.0	0.0	0.0	0.0	0.0	"k__Bacteria; p__""Bacteroidetes""; c__Sphingobacteriia; o__""Sphingobacteriales""; f__Chitinophagaceae"
OTU1179	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	12.0	0.0	17.0	9.0	0.0	0.0	"k__Bacteria; p__""Proteobacteria"""
OTU1180	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	2.0	0.0	42.0	0.0	0.0	k__Bacteria; p__; c__; o__; f__; g__; s__
OTU1181	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	14.0	0.0	1.0	31.0	2.0	2.0	0.0	"k__Bacteria; p__""Proteobacteria""; c__Gammaproteobacteria"
OTU1182	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	5.0	0.0	"k__Bacteria; p__""Proteobacteria""; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae"
OTU1183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	1.0	0.0	0.0	k__Bacteria; p__Candidatus_Saccharibacteria; c__; o__; f__; g__Saccharibacteria_genera_incertae_sedis
OTU1184	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	15.0	8.0	0.0	4.0	0.0	43.0	4.0	0.0	"k__Bacteria; p__""Bacteroidetes""; c__Sphingobacteriia; o__""Sphingobacteriales""; f__Chitinophagaceae; g__Sediminibacterium"
OTU1186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	2.0	0.0	20.0	141.0	5.0	2.0	0.0	"k__Bacteria; p__""Acidobacteria""; c__Acidobacteria_Gp6; o__; f__; g__Gp6"
OTU1187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	29.0	3.0	0.0	0.0	"k__Bacteria; p__""Proteobacteria""; c__Alphaproteobacteria"
OTU1188	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	7.0	0.0	0.0	5.0	7.0	0.0	0.0	"k__Bacteria; p__""Planctomycetes""; c__Planctomycetia; o__Planctomycetales; f__Planctomycetaceae"
OTU1189	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	5.0	62.0	1.0	0.0	0.0	k__Bacteria; p__; c__; o__; f__; g__; s__
OTU1191	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	22.0	"k__Bacteria; p__""Proteobacteria""; c__Alphaproteobacteria"
OTU1192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	7.0	5.0	5.0	2.0	26.0	0.0	0.0	"k__Bacteria; p__""Planctomycetes""; c__Planctomycetia; o__Planctomycetales; f__Planctomycetaceae"
OTU1193	0.0	0.0	0.0	0.0	0.0	0.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	"k__Bacteria; p__""Actinobacteria""; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae; g__Nocardioides"
OTU1194	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	7.0	21.0	11.0	34.0	55.0	3.0	33.0	4.0	"k__Bacteria; p__""Actinobacteria""; c__Actinobacteria; o__Actinomycetales; f__Micromonosporaceae; g__Asanoa"
OTU1195	1.0	0.0	0.0	0.0	0.0	2.0	24.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	17.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnospiracea_incertae_sedis
OTU1196	0.0	0.0	0.0	0.0	24.0	1.0	0.0	8.0	0.0	1.0	19.0	0.0	8.0	2.0	0.0	0.0	"k__Bacteria; p__""Gemmatimonadetes""; c__Gemmatimonadetes; o__Gemmatimonadales; f__Gemmatimonadaceae; g__Gemmatimonas"
OTU1197	0.0	0.0	0.0	0.0	0.0	0.0	55.0	2.0	0.0	4.0	1.0	0.0	5.0	3.0	0.0	0.0	"k__Bacteria; p__""Actinobacteria""; c__Actinobacteria; o__Solirubrobacterales"
OTU1198	0.0	0.0	0.0	0.0	17.0	3.0	66.0	31.0	0.0	0.0	3.0	4.0	2.0	0.0	0.0	0.0	"k__Bacteria; p__""Proteobacteria""; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae"
OTU1199	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0	2.0	13.0	5.0	10.0	0.0	14.0	0.0	0.0	"k__Bacteria; p__""Bacteroidetes""; c__Sphingobacteriia; o__""Sphingobacteriales""; f__Sphingobacteriaceae; g__Pedobacter"
OTU1200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	38.0	0.0	"k__Bacteria; p__""Actinobacteria""; c__Actinobacteria; o__Actinomycetales; f__Micromonosporaceae"
OTU1201	0.0	0.0	0.0	0.0	0.0	0.0	0.0	73.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	"k__Bacteria; p__""Verrucomicrobia""; c__Spartobacteria; o__; f__; g__Spartobacteria_genera_incertae_sedis"
